product,baseline,MAE,RMSE,MAPE
P001,Naive (y_t-1),14.91,20.66,28.38
P001,Seasonal naive (y_t-7),12.21,23.64,23.96
P001,Moving average 7,15.41,22.27,30.82
P002,Naive (y_t-1),5.65,7.68,29.14
P002,Seasonal naive (y_t-7),4.3,8.26,22.96
P002,Moving average 7,5.57,8.02,30.37
P003,Naive (y_t-1),28.64,40.37,27.23
P003,Seasonal naive (y_t-7),22.88,44.17,22.51
P003,Moving average 7,29.88,43.0,30.22
RATA-RATA,Moving average 7,16.95,24.43,30.47
RATA-RATA,Naive (y_t-1),16.4,22.9,28.25
RATA-RATA,Seasonal naive (y_t-7),13.13,25.36,23.14
