product,model,horizon,MAE,RMSE,MAPE
P001,ARIMA,H+1,12.365,16.459,25.699
P001,ARIMA,H+7,15.066,20.681,32.706
P001,Prophet,H+1,3.64,4.461,8.5
P001,Prophet,H+7,3.696,4.518,8.631
P001,XGBoost,H+1,3.681,4.671,8.231
P001,XGBoost,H+7,3.722,4.723,8.325
P001,Hybrid,H+1,3.345,4.324,7.283
P001,Hybrid,H+7,3.389,4.377,7.364
P002,ARIMA,H+1,4.809,6.203,26.689
P002,ARIMA,H+7,5.507,7.522,31.981
P002,Prophet,H+1,1.445,1.866,8.576
P002,Prophet,H+7,1.447,1.872,8.579
P002,XGBoost,H+1,1.423,1.82,8.49
P002,XGBoost,H+7,1.426,1.824,8.509
P002,Hybrid,H+1,1.451,1.877,8.586
P002,Hybrid,H+7,1.456,1.885,8.613
P003,ARIMA,H+1,24.953,33.037,25.786
P003,ARIMA,H+7,30.634,40.615,33.499
P003,Prophet,H+1,7.338,9.14,7.759
P003,Prophet,H+7,7.337,9.174,7.717
P003,XGBoost,H+1,6.539,8.299,7.15
P003,XGBoost,H+7,6.479,8.279,7.038
P003,Hybrid,H+1,7.381,9.113,7.778
P003,Hybrid,H+7,7.361,9.114,7.72
